ID,Title,Body,Status,Priority,Estimate,Blocked By,Work Location,Labels,Milestone
D01,Finalize offline rebuild architecture,"## Objective
Adopt one source of truth for the deterministic offline visualizer.

## Scope
- Confirm ConstantQNRT and Sequencer time as the supported analysis path.
- Confirm the initial line layout and instanced-mesh rendering approach.
- Record retired and deferred legacy systems.
- Record deterministic seek and failure-handling requirements.

## Acceptance Criteria
- The architecture document names the runtime components and their boundaries.
- Every Stream MVP delivery card is consistent with the offline-only decision.
- Custom CQT and live audio are not prerequisites for the MVP.

## Dependencies
- None.

## Evidence
- Link `planning/documents/offline_visualizer_architecture.md`.",Done,P0,S,None,Remote,"architecture,decision,stream-mvp,priority:P0",Stream MVP
D02,Define response math and golden test vectors,"## Objective
Specify deterministic conversion from raw ConstantQNRT values to visual response values.

## Scope
- Define noise-floor, normalization, band-weight, exponent, and clamp operations.
- Define safe behavior for invalid settings and non-finite input.
- Create representative input/output vectors for later automated tests.
- Defer stateful attack/release smoothing.

## Acceptance Criteria
- Operation order and formulas are unambiguous.
- Boundary cases include silence, threshold, midpoint, peak, NaN, and infinity.
- Expected outputs can be checked without opening Unreal.
- Repeated evaluation of the same input has the same output.

## Dependencies
- D01 Finalize offline rebuild architecture.

## Evidence
- `planning/documents/response_math_spec.md`.
- `planning/test-vectors/response_golden_vectors.csv`.
- `python3 planning/scripts/validate_response_vectors.py`: PASS for 32 cases.",Done,P0,S,D01,Remote,"response,tests,cpp,stream-mvp,priority:P0",Stream MVP
D03,Define deterministic layout contracts and test vectors,"## Objective
Specify pure layout behavior for line, circle, and Fibonacci-sphere modes.

## Scope
- Define inputs, coordinate conventions, ordering, scale, spacing, and orientation.
- Define behavior for zero and invalid instance counts.
- Create reference transforms for small known counts.
- Defer spiral layout until its intended shape is specified.

## Acceptance Criteria
- Each layout returns exactly one finite transform per requested band.
- Reference transforms cover counts 0, 1, 2, and a representative full layout.
- Circle radius and sphere radius can be verified numerically.
- Results do not depend on actor or world state.

## Dependencies
- D01 Finalize offline rebuild architecture.

## Parallel Work
- May run in parallel with D02.

## Evidence
- `planning/documents/layout_spec.md`.
- `planning/test-vectors/layout_golden_vectors.csv`.
- `python3 planning/scripts/validate_layout_vectors.py`: PASS for 17 cases and 29 transforms.",Done,P0,S,D01,Remote,"layout,tests,cpp,stream-mvp,priority:P0",Stream MVP
D04,Define Unreal runtime API and source structure,"## Objective
Turn the architecture and pure behavior contracts into implementation-ready Unreal interfaces.

## Scope
- Define `ARTCQTVisualizer`, response settings, response processor, and layout APIs.
- Define ownership and asset-reference types.
- Define the explicit song-time update method.
- Define logging and missing-asset behavior.
- Draft the clean runtime-module file tree and dependency list.

## Acceptance Criteria
- Every public property and method has one documented responsibility.
- Runtime code has no editor-module dependency.
- The API supports isolated frame evaluation and backward seeks.
- Implementation tasks can proceed without inventing new architecture.

## Dependencies
- D02 Define response math and golden test vectors.
- D03 Define deterministic layout contracts and test vectors.

## Evidence
- `planning/documents/unreal_runtime_api_spec.md`.
- Reviewed interface and build drafts in `planning/header-drafts/`.
- D02 and D03 reference validators remain passing.",Done,P0,M,"D02, D03",Remote,"architecture,api,cpp,stream-mvp,priority:P0",Stream MVP
D05,Prepare approved test audio and asset manifest,"## Objective
Select and document the short audio source used for deterministic verification.

## Scope
- Select a 30-60 second WAV owned or cleared for the intended use.
- Record source, permission, duration, channels, sample rate, and bit depth.
- Define three or more reference timestamps with recognizable events.
- Decide whether the binary belongs in Git LFS or external storage.

## Acceptance Criteria
- Permission and provenance are recorded.
- The WAV meets the agreed technical format.
- Reference timestamps are documented.
- The storage location is recoverable.

## Dependencies
- D01 Finalize offline rebuild architecture.

## Parallel Work
- May run in parallel with D02-D04.

## Evidence
- `planning/documents/test_audio_manifest.md` records permission, provenance, technical identity, storage policy, and six reference timestamps.
- `planning/scripts/extract_wav_segment.py` recreates the exact 60-second fixture from the ignored full source.
- `planning/scripts/analyze_test_audio.py` verifies the fixture metadata, SHA-256, and signal checkpoints.
- Fixture SHA-256: `818bc64d830301e32fc929bfa19fb4799b23295e22bdde4e0108826554eb8a23`.",Done,P0,S,D01,"Remote + audio access","audio,licensing,foundation,stream-mvp,priority:P0",Stream MVP
D06,Create recoverable Unreal project shell,"## Objective
Create the complete current-Unreal project context missing from this checkout.

## Scope
- Record the exact Unreal Engine version.
- Create the C++ project and clean runtime module.
- Enable Audio Synesthesia and Movie Render Queue.
- Preserve `.uproject`, target files, `Config/`, and source.
- Configure storage rules for binary assets.
- Keep legacy source outside the new runtime module.

## Acceptance Criteria
- Development Editor build succeeds.
- The editor opens after a clean close and restart.
- Runtime build rules contain no editor-only modules.
- Another clone or backup contains the complete project shell.

## Dependencies
- D04 Define Unreal runtime API and source structure.

## Evidence
- `planning/documents/unreal_project_baseline.md`.
- UE 5.8 Development Editor build: Succeeded.
- Interactive close/reopen and required-plugin checks: Passed.
- Fresh NTFS clone build and headless editor load: Passed.",Done,P0,M,D04,"Unreal workstation","foundation,unreal,build,stream-mvp,priority:P0",Stream MVP
D07,Import test audio and create ConstantQNRT asset,"## Objective
Create the supported pre-analyzed input for the first visualizer.

## Scope
- Import the approved WAV into `Content/Audio/`.
- Create a ConstantQNRT asset with the chosen 32- or 48-band configuration.
- Query raw band values at the manifest reference timestamps.
- Record analyzer settings and returned value counts.

## Acceptance Criteria
- The SoundWave plays in the editor.
- ConstantQNRT analysis completes without an editor error.
- Raw values are available at every reference timestamp.
- Asset settings and band count are recorded.

## Dependencies
- D05 Prepare approved test audio and asset manifest.
- D06 Create recoverable Unreal project shell.

## Evidence
- Asset settings screenshot and timestamp query results.",Now,P0,S,"D05, D06","Unreal workstation","audio,analysis,unreal,stream-mvp,priority:P0",Stream MVP
D08,Implement static instanced line layout,"## Objective
Render exactly one reusable mesh instance per configured band before connecting audio.

## Scope
- Add the visualizer actor and one instanced static mesh component.
- Implement the D03 line-layout contract.
- Rebuild instances only when layout inputs or band count change.
- Handle missing mesh and zero bands safely.

## Acceptance Criteria
- Instance count exactly matches the configured band count.
- Transforms match D03 reference vectors.
- No per-band actors are spawned.
- Missing assets produce a safe empty state and one actionable log.

## Dependencies
- D03 Define deterministic layout contracts and test vectors.
- D06 Create recoverable Unreal project shell.

## Parallel Work
- May run in parallel with D07 after D06 completes.

## Evidence
- Automated results, actor/component screenshot, and editor capture.",Now,P0,M,"D03, D06","Unreal workstation","layout,instancing,unreal,stream-mvp,priority:P0",Stream MVP
D09,Implement stateless response processor,"## Objective
Implement the agreed deterministic spectrum-to-response transformation.

## Scope
- Implement the D02 operation order in plain C++.
- Add safe settings validation and non-finite input handling.
- Add automated checks using the golden vectors.
- Keep the processor independent of UObject, rendering, and playback.

## Acceptance Criteria
- All D02 golden vectors pass.
- Output remains finite and within documented bounds.
- Identical input and settings produce identical output.
- No prior-frame state is stored.

## Dependencies
- D02 Define response math and golden test vectors.
- D06 Create recoverable Unreal project shell.

## Parallel Work
- May run in parallel with D07 and D08 after D06 completes.

## Evidence
- Test output and implementation review.",Next,P0,M,"D02, D06","Unreal workstation or remote with configured UE toolchain","response,tests,cpp,stream-mvp,priority:P0",Stream MVP
D10,Connect ConstantQNRT queries to explicit song time,"## Objective
Drive raw frequency-band values from one authoritative time input.

## Scope
- Add an explicit update method accepting song time in seconds.
- Query ConstantQNRT at that exact time.
- Handle negative time, end-of-track time, missing assets, and band mismatches.
- Capture raw values at the reference timestamps.

## Acceptance Criteria
- The method does not use accumulated DeltaTime as song time.
- Repeated calls at the same timestamp return matching raw values.
- Seeking backward and forward does not retain analyzer state.
- Captured values match the D07 references.

## Dependencies
- D07 Import test audio and create ConstantQNRT asset.
- D08 Implement static instanced line layout.

## Evidence
- Timestamp captures from repeated and out-of-order queries.",Next,P0,M,"D07, D08","Unreal workstation","sync,analysis,unreal,stream-mvp,priority:P0",Stream MVP
